,Timestamp,Object,Range,Angle1,Angle2,Magnitude
0,2023-01-01 00:00:00,16064,24380.94,-0.5627,5.5023,10.8
1,2023-01-01 00:00:00,23429,40300.89,2.7625,-6.3237,11.4
2,2023-01-01 00:00:00,26605,23438.36,-0.7903,5.5873,10.9
3,2023-01-01 00:00:00,33750,39763.87,-6.853,1.0735,10.6
4,2023-01-01 00:00:00,40505,39093.84,-2.7866,7.174,10.8
5,2023-01-01 00:00:00,47306,39961.55,-8.1265,-0.8086,10.7
6,2023-01-01 00:00:00,23764,39957.39,6.345,2.7122,10.2
7,2023-01-01 00:00:00,23230,40276.86,-3.0692,-8.063,11.2
8,2023-01-01 00:00:00,33056,38907.77,-1.5691,8.9219,11.2
9,2023-01-01 00:00:00,40665,28826.61,-3.5992,10.18,10.2
10,2023-01-01 00:00:00,42814,39189.34,-3.3531,6.3082,11.1
11,2023-01-01 00:00:00,32390,26898.32,-5.5096,4.4776,10.5
12,2023-01-01 00:00:00,25354,39960.08,0.7014,2.3272,10.8
13,2023-01-01 00:00:00,32264,2213.9,8.889,1.3344,6.7
14,2023-01-01 00:00:00,40734,33091.02,4.0379,8.3469,10.4
15,2023-01-01 00:00:00,44910,39744.93,-5.3603,1.1704,10.5
16,2023-01-01 00:00:00,27825,39138.98,5.614,6.7583,8.2
17,2023-01-01 00:00:00,23313,40679.33,2.8899,-3.6483,11.3
18,2023-01-01 00:00:00,29498,25873.94,6.4982,5.6335,9.9
19,2023-01-01 00:00:00,41191,39465.28,-5.1299,3.7388,10.8
20,2023-01-01 00:00:00,28546,37662.84,1.4666,-9.8189,10.2
21,2023-01-01 00:00:00,46116,31574.77,-2.2732,3.1436,10.3
22,2023-01-01 00:00:00,41544,37556.02,1.5734,3.5633,7.4
23,2023-01-01 00:00:00,41594,21128.29,-7.7271,-0.9749,9.8
24,2023-01-01 00:00:00,28542,40212.08,-8.6929,-2.9174,10.8
25,2023-01-01 00:00:00,28379,33339.13,0.6871,0.9794,10.8
26,2023-01-01 00:00:00,35874,18216.9,7.1858,3.134,10.3
27,2023-01-01 00:00:00,26397,40916.64,1.4767,-9.3888,11.4
28,2023-01-01 00:00:00,40368,37908.07,-1.3971,7.7484,11.0
29,2023-01-01 00:00:00,36101,39495.8,-5.2147,3.5168,10.7
30,2023-01-01 00:00:00,38778,40242.26,-9.7626,-3.186,10.8
31,2023-01-01 00:00:00,39285,40217.33,-9.4746,-2.9595,10.6
32,2023-01-01 00:00:00,44186,40028.81,-8.3626,-1.2113,11.1
33,2023-01-01 00:00:00,25638,40921.92,-1.1848,-8.8976,11.1
34,2023-01-01 00:00:00,38752,7104.0,1.6774,-1.7182,6.1
35,2023-01-01 00:00:00,39522,38913.7,-1.618,8.9427,10.4
36,2023-01-01 00:00:00,38741,39955.29,-8.0799,-0.6983,11.2
37,2023-01-01 00:00:00,20887,1264.24,-5.4007,-7.2691,3.8
38,2023-01-01 00:00:00,39617,39921.72,-7.7987,-0.3554,10.7
39,2023-01-01 00:00:00,24737,40619.9,4.9734,-3.273,11.1
40,2023-01-01 00:00:00,23132,39220.17,7.9196,5.7696,10.4
41,2023-01-01 00:00:00,44800,39521.04,-5.4522,3.2015,11.0
42,2023-01-01 00:00:00,44077,26390.01,6.1824,6.7574,10.2
43,2023-01-01 00:00:00,38014,38864.45,-1.2666,9.4376,11.0
44,2023-01-01 00:00:00,22787,40775.54,-0.2998,-7.931,10.4
45,2023-01-01 00:00:00,44034,39169.42,-3.4056,6.2598,10.2
46,2023-01-01 00:00:00,50212,38919.37,-1.5385,8.9489,10.8
47,2023-01-01 00:00:00,40364,40240.09,-9.6444,-3.2148,10.6
48,2023-01-01 00:00:00,36745,40021.21,-8.3398,-1.2434,10.9
49,2023-01-01 00:00:00,39190,11468.31,3.7393,-4.1135,8.7
50,2023-01-01 00:00:00,25894,39489.15,-1.4676,4.1806,11.4
51,2023-01-01 00:00:00,40351,11638.24,2.4431,-5.7152,8.8
52,2023-01-01 00:00:00,37392,39773.46,-7.0327,0.8778,11.1
53,2023-01-01 00:00:01,44077,26384.45,6.1533,6.7993,10.2
54,2023-01-01 00:00:01,25638,40917.86,-1.1977,-8.863,11.1
55,2023-01-01 00:00:01,25894,39485.34,-1.4929,4.2162,11.4
56,2023-01-01 00:00:01,42814,39185.79,-3.3808,6.3425,11.1
57,2023-01-01 00:00:01,41594,21127.0,-7.7559,-0.9396,9.8
58,2023-01-01 00:00:01,26397,40912.26,1.4639,-9.3515,11.4
59,2023-01-01 00:00:01,44034,39165.88,-3.4333,6.2941,10.2
